service_request_id,service_name,title,description,requested_datetime,status
883-2021,Bank beschädigt,#883-2021 Bank beschädigt,"Bei 4 von 5 Bänken fehlen die Rückenlehnen.
Bruchstellen sind scharfkantig ",2021-09-23T20:52:18+02:00,open
1947-2021,Brunnen verschmutzt,#1947-2021 Brunnen verschmutzt,"Die Kategorie stimmt nicht ganz: Nicht der Brunnen ist verschmutzt, sondern die Isar. Bei der eingestellten Position bei der Museumsinsel liegt ein elektrischer Roller in der Isar.",2021-12-22T10:30:31+01:00,open
3678-2022,Geh- und Radweg verschmutzt,#3678-2022 Geh- und Radweg verschmutzt,"Die Weiss und Grün Glass Tonne sind uberfull seit Tagen, und Es wird einfach jetzt glass davor am Gehweg gestellt. ",2022-02-14T16:39:32+01:00,open
4071-2022,Verkehrsschild verschmutzt,#4071-2022 Verkehrsschild verschmutzt,Schild beklebt ,2022-02-26T16:38:05+01:00,open
5387-2022,Denkmal verschmutzt,#5387-2022 Denkmal verschmutzt,"Hallo, leider wird dieses interessante Denkmal immer schmutziger und unansehnlicher.
Es wäre sehr schön, wenn es regelmäßig gereinigt würde. Ich finde das hat es verdient da es schon eine Art Kunst im Park ist.

Danke!",2022-04-04T14:00:15+02:00,open
5733-2022,Grünstreifen verschmutzt,#5733-2022 Grünstreifen verschmutzt,"Sehr geehrte Damen und Herren,

die Johanneskirchner Str. zwischen Fürkhofstr. und Ringofenweg ist seit Jahren verschmutzt. In diesem Bereich befindet sich die Städtische Helen-Keller Realschule. Im Gebüsch liegt Müll aller Art. Wenn Sie dafür zuständig sind, bitte organisieren Sie für diese Straße Reinigungstag.

Die Bewohner bedanken sich bei Ihnen.
Mit freundlichen Grüßen",2022-04-16T21:06:04+02:00,open
5790-2022,Park beschädigt,#5790-2022 Park beschädigt,"<p>Hier sind 3 Mülleimer, die defekt sind. Sie kippen immer, so dass die Krähen leichtes Spiel haben, um den Müll heraus zu holen.</p>
",2022-04-19T09:26:35+02:00,open
6039-2022,Denkmal verschmutzt,#6039-2022 Denkmal verschmutzt,Es wird hier wieder verstärkt Unrat abgelegt und gesammelt. Außerdem stinkt es unangenehm nach Urin. ,2022-04-26T14:20:38+02:00,open
6358-2022,Brunnen verschmutzt,#6358-2022 Brunnen verschmutzt,"Der Utabrunnen, Waldtrudering, Tangastraße / Waldtruderinger Str. , benötigt eine Pflege. Es hat sich sehr viel Bewuchs (Moos) gebildet. Der Schriftzug ist nicht mehr zu erkennen und sollte deshalb mit Farbe wieder nachtgezeichnet werden. Eine komplette Reinigung ist notwendig. Der Brunnen steht unter Denkmalschutz. ",2022-05-06T20:35:21+02:00,open
6458-2022,Denkmal verschmutzt,#6458-2022 Denkmal verschmutzt,Diese Ecke am Sendlinger Tor wird sehr häufig als Toilette verwendet und heute musste ich sogar mit ansehen wie jemand dort sein großes Geschäft verrichtet hat. Es stinkt daher nun sehr unangenehm und ich befürchte auch eine Gefahr für die Gesundheit von Kindern und anderen Lebewesen. ,2022-05-09T22:44:21+02:00,open
6475-2022,Denkmal verschmutzt,#6475-2022 Denkmal verschmutzt,Es wird immer mehr Müll und darunter auch gefährliche Stoffe wie alte Ölkanister hier abgelegt. Das ganze zieht sich jetzt schon Wochen so hin. Sollte hier nichts passieren befürchte ich Ratten. Bitte zur Gefahrenabwehr räumen und reinigen. ,2022-05-10T17:04:55+02:00,open
6480-2022,Denkmal verschmutzt,#6480-2022 Denkmal verschmutzt,Extrem verschmutzt und es riecht übel. Überall Fliegen. ,2022-05-10T18:48:59+02:00,open
7549-2022,Brunnen beschädigt,#7549-2022 Brunnen beschädigt,"Die Brunnen im Westpark laufen nicht. Können Sie das Wasser laufen lassen?
Nur der Brunnen an Haupteingang läuft.

Die Brunnen im Alten südlichen Friedhof sowie im Nördlichen Friedhof, Arccistraße, laufen nicht.
Können Sie das Wasser laufen lassen?

Zum Teil müssen die Wasserrohre repariert werden. Bei manchen fehlt der Ablauf. Oder das Überlaufrohr fehlt. Wenn sie es genauer wissen möchten, können Sie mir dies schreiben.

",2022-06-10T14:13:25+02:00,open
7567-2022,Verkehrsschild verschmutzt,#7567-2022 Verkehrsschild verschmutzt,Verkehrsschilder beklebt ,2022-06-11T11:35:26+02:00,open
7934-2022,Brunnen verschmutzt,#7934-2022 Brunnen verschmutzt,"Hallo,

Da ich selbst Anwohner der Max Bill Straße bin, wollte ich mich zum Bauhausplatz inkl. Brunnen wenden.
Ich finde es sehr schade, dass der Platz und der Brunnen oft verschmutzt und fast schäbig aussehen. Das Arrangement aus den Bänken lädt wohl auch nur Jugendliche nach Einbruch der Dunkelheit zum verweilen ein, tagsüber ist es meist leer. Da fast keine Mülltonnen da sind, landet viel am Boden, aus der einen Tonne holen die Krähen alles heraus und verteilen den Müll. 
Der Brunnen selbst funktioniert bzgl Wasser leider auch nicht wie er soll, das Wasser tritt ganz ungleichmäßig aus. Am Boden verteilt es sich scheinbar beliebig, es läuft wohl nicht wie gewünscht, die Fläche darunter ist ja auch fast eben. Überall liegen Kippen. Insgesamt wirkt der ganze Platz leider sehr abschreckend, Gäste oder Freunde würde ich da nicht hinbringen. 
Vielleicht kann man ja an der einen oder anderen Stelle etwas verbessern, ich würde mich sehr freuen. 

Viele Grüße ",2022-06-20T22:13:58+02:00,open
8050-2022,Brunnen beschädigt,#8050-2022 Brunnen beschädigt,"Hallo! Sehr geehrte Damen und Herren,
leider läuft das Wasser im Brunnen noch nicht. Wir fragen uns, ob es vielleicht noch angeschaltet werden könnte. Die Kinder (und Eltern) würden sichbsehr freuen.

Vielen Dank und schöne Grüße,
Yvonne Klöfkorn",2022-06-23T15:30:11+02:00,open
10279-2022,Brunnen verschmutzt,#10279-2022 Brunnen verschmutzt,Brunnen verschmutzt und nicht Betriebsfähig,2022-08-27T22:57:34+02:00,open
12521-2022,Brunnen verschmutzt,#12521-2022 Brunnen verschmutzt,Jede Menge Dreck und Müll im und um den Brunnen.,2022-10-31T17:54:42+01:00,open
13495-2022,Denkmal verschmutzt,#13495-2022 Denkmal verschmutzt,"Untragbare Zustände: Müll, Graffitis, Uringeruch. 
Außerdem wird man regelmäßig angepöbelt wenn man diesen Durchgang im Sendlinger Tor benutzt. ",2022-11-22T21:38:57+01:00,open
15385-2023,Denkmal beschädigt,#15385-2023 Denkmal beschädigt,"Die Statue der Venus (eines von zwei Reiterbildern) am Rand des Bavariaparks wurde schon vor Jahren beschädigt: ihr Spiegel wurde entfernt. Wann wird er endlich durch einen neuen ersetzt? z.B. durch Metall statt Stein, damit er nicht mehr so leicht zertrümmert werden kann. Danke.",2023-01-23T16:49:33+01:00,open
16337-2023,Brunnen verschmutzt,#16337-2023 Brunnen verschmutzt,Müll am Ende des Kanals,2023-02-20T18:22:13+01:00,open
17372-2023,Denkmal verschmutzt,#17372-2023 Denkmal verschmutzt,Hier haben sich Tauben eingenistet und der Taubenschreck am kompletten Sendlinger Tor scheint nicht zu funktionieren. Erhebliche Verschmutzung durch Kot und Federn. Außerdem steht das Fahrrad schon ein halbes Jahr dort. ,2023-03-21T12:42:28+01:00,open
17943-2023,Denkmal verschmutzt,#17943-2023 Denkmal verschmutzt,"Das hat weh getan.  Der Max-Joseph-Platz  ist übersäht mit losen Steinen. Diese werden von den Besuchern der umliegenden Lokale ( nach Sportereignis) gerne als Ball benützt und in die Gegend geschossen.
Leider traf es gestern einen Besucher am Knöchel. Vorschlag: entweder wieder einbauen und verfugen oder einsammeln und bis zum Umbau warten. Eine Party-Zone wird dort jedenfalls nicht benötigt.
Ein Opernplatz mit Residenz  gehört eluminert ( Voltaik mit Speicher )  Pflanztröge im Hintergrund können Optik bieten aber den Blick nicht verstellen. Nachtwirkung.  WG",2023-04-10T11:20:10+02:00,open
18691-2023,Brunnen verschmutzt,#18691-2023 Brunnen verschmutzt,"Ich weiß nicht, ob man das gut sieht: Becken ist heute Nacht vollgelaufen, Abfluss ist verstopft, Türchen ist wieder mal offen, hier laufen viele Kleinkinder umher, manche leider ohne direkte Aufsicht! 
Bitte endlich mal die Absperrung-Vorrichtung der Tür optimieren ",2023-05-06T08:11:41+02:00,open
18693-2023,Brunnen verschmutzt,#18693-2023 Brunnen verschmutzt,Klenze-Brunnen in der Ludwigstraße 20 (Arkaden) verschmutzt und außer Betrieb. Gärtner-Brunnen daneben auch betroffen.,2023-05-06T09:06:00+02:00,open
18724-2023,Brunnen beschädigt,#18724-2023 Brunnen beschädigt,Wasser tritt aus dem unterirdischen Hydranten aus.,2023-05-07T09:37:36+02:00,open
18749-2023,Brunnen beschädigt,#18749-2023 Brunnen beschädigt,Hohenzollernplatz- Brunnen: Mehrere Ablaufgitter locker/lose,2023-05-07T18:14:13+02:00,open
